The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: う, ウ, ウ, う
The result is same! - Japanese: 歯, ハ, ハ, は
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 感冒, カンボウ, カンボウ, かんぼう
The result is same! - Japanese: 潰瘍, カイヨウ, カイヨウ, かいよう
The result is different! - Japanese: 歯痛, シツウ, ハイタ, はいた
The result is same! - Japanese: 喘息, ゼンソク, ゼンソク, ぜんそく
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 不眠, フミン, フミン, ふみん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is different! - Japanese: 腹痛, ハライタ, フクツウ, ふくつう
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is different! - Japanese: 黄染, キソメ, オウセン, おうせん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: う, ウ, ウ, う
The result is same! - Japanese: 歯, ハ, ハ, は
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 熱傷, ネッショウ, ネッショウ, ねっしょう
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 血尿, ケツニョウ, ケツニョウ, けつにょう
The result is same! - Japanese: 腺癌, センガン, センガン, せんがん
The result is different! - Japanese: 黄染, キソメ, オウセン, おうせん
The result is same! - Japanese: 梅毒, バイドク, バイドク, ばいどく
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 血尿, ケツニョウ, ケツニョウ, けつにょう
The result is same! - Japanese: 腫大, シュダイ, シュダイ, しゅだい
The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 腰痛, ヨウツウ, ヨウツウ, ようつう
The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 黄疸, オウダン, オウダン, おうだん
The result is different! - Japanese: 腹痛, ハライタ, フクツウ, ふくつう
The result is same! - Japanese: 咳嗽, ガイソウ, ガイソウ, がいそう
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 膵癌, スイガン, スイガン, すいがん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 尿糖, ニョウトウ, ニョウトウ, にょうとう
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is different! - Japanese: 頻尿, シキニョウ, ヒンニョウ, ひんにょう
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 虹, ニジ, ニジ, にじ
The result is different! - Japanese: 視, ミ, シ, し
The result is different! - Japanese: 眼痛, メツウ, ガンツウ, がんつう
The result is same! - Japanese: 頭痛, ズツウ, ズツウ, ずつう
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 咳嗽, ガイソウ, ガイソウ, がいそう
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 熱傷, ネッショウ, ネッショウ, ねっしょう
The result is same! - Japanese: 肝癌, カンガン, カンガン, かんがん
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 紫斑, シハン, シハン, しはん
The result is different! - Japanese: 皮疹, カワ, ヒシン, ひしん
The result is same! - Japanese: 腫脹, シュチョウ, シュチョウ, しゅちょう
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 発熱, ハツネツ, ハツネツ, はつねつ
The result is different! - Japanese: 巨舌, キョウシタ, キョゼツ, きょぜつ
The result is same! - Japanese: 昼, ヒル, ヒル, ひる
The result is different! - Japanese: 盲, メクラ, モウ, もう
The result is same! - Japanese: 血尿, ケツニョウ, ケツニョウ, けつにょう
The result is different! - Japanese: 帯下, オビカ, タイゲ, たいげ
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is different! - Japanese: 黄染, キソメ, オウセン, おうせん
The result is same! - Japanese: 喘鳴, ゼンメイ, ゼンメイ, ぜんめい
The result is same! - Japanese: 喘鳴, ゼンメイ, ゼンメイ, ぜんめい
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 解離, カイリ, カイリ, かいり
The result is different! - Japanese: 浮腫, ムクミ, フシュ, ふしゅ
The result is same! - Japanese: 膵癌, スイガン, スイガン, すいがん
The result is same! - Japanese: 胃癌, イガン, イガン, いがん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is different! - Japanese: 麻疹, ハシカ, マシン, ましん
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 貧血, ヒンケツ, ヒンケツ, ひんけつ
The result is same! - Japanese: せん, セン, セン, せん
The result is different! - Japanese: 妄, , モウ, もう
The result is same! - Japanese: 網膜症, モウマクショウ, モウマクショウ, もうまくしょう
The result is same! - Japanese: 胃腸, イチョウ, イチョウ, いちょう
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
The result is same! - Japanese: 尿, ニョウ, ニョウ, にょう
The result is same! - Japanese: 失禁, シッキン, シッキン, しっきん
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 梗塞, コウソク, コウソク, こうそく
The result is same! - Japanese: 蕁麻疹, ジンマシン, ジンマシン, じんましん
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is different! - Japanese: 腫瘤, シュコブ, シュリュウ, しゅりゅう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 脳出血, ノウシュッケツ, ノウシュッケツ, のうしゅっけつ
The result is same! - Japanese: 大腸, ダイチョウ, ダイチョウ, だいちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 骨, ホネ, ホネ, ほね
The result is same! - Japanese: 病変, ビョウヘン, ビョウヘン, びょうへん
The result is same! - Japanese: 胆管, タンカン, タンカン, たんかん
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 梗塞, コウソク, コウソク, こうそく
The result is same! - Japanese: 肝硬変, カンコウヘン, カンコウヘン, かんこうへん
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 不眠症, フミンショウ, フミンショウ, ふみんしょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 大腸, ダイチョウ, ダイチョウ, だいちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 肺結核, ハイケッカク, ハイケッカク, はいけっかく
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is different! - Japanese: 高, コウ, タカ, たか
The result is same! - Japanese: 血糖, ケットウ, ケットウ, けっとう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 梗塞, コウソク, コウソク, こうそく
The result is same! - Japanese: 心, ココロ, ココロ, こころ
The result is same! - Japanese: 停止, テイシ, テイシ, ていし
The result is same! - Japanese: 脳出血, ノウシュッケツ, ノウシュッケツ, のうしゅっけつ
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is different! - Japanese: 高, コウ, タカ, たか
The result is same! - Japanese: 血糖, ケットウ, ケットウ, けっとう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 僧帽, ソウボウ, ソウボウ, そうぼう
The result is same! - Japanese: 弁, ベン, ベン, べん
The result is same! - Japanese: 卵巣, ランソウ, ランソウ, らんそう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is same! - Japanese: 腺癌, センガン, センガン, せんがん
The result is same! - Japanese: 心, ココロ, ココロ, こころ
The result is same! - Japanese: 奇形, キケイ, キケイ, きけい
The result is same! - Japanese: 脳出血, ノウシュッケツ, ノウシュッケツ, のうしゅっけつ
The result is different! - Japanese: 無月, ムゲツ, ナツキ, なつき
The result is same! - Japanese: 経, ケイ, ケイ, けい
The result is same! - Japanese: 脳卒中, ノウソッチュウ, ノウソッチュウ, のうそっちゅう
The result is same! - Japanese: 白内障, ハクナイショウ, ハクナイショウ, はくないしょう
The result is same! - Japanese: 便秘, ベンピ, ベンピ, べんぴ
